id,type,subtype,value
0,suit,pin,1
1,suit,pin,2
2,suit,pin,3
3,suit,pin,4
4,suit,pin,5
5,suit,pin,6
6,suit,pin,7
7,suit,pin,8
8,suit,pin,9
9,suit,sou,1
10,suit,sou,2
11,suit,sou,3
12,suit,sou,4
13,suit,sou,5
14,suit,sou,6
15,suit,sou,7
16,suit,sou,8
17,suit,sou,9
18,suit,wan,1
19,suit,wan,2
20,suit,wan,3
21,suit,wan,4
22,suit,wan,5
23,suit,wan,6
24,suit,wan,7
25,suit,wan,8
26,suit,wan,9
27,honor,wind,e
28,honor,wind,s
29,honor,wind,w
30,honor,wind,n
31,honor,dragon,r
32,honor,dragon,g
33,honor,dragon,wh
